person_id,population_group,sex,age,years_in_germany,education_level,german_language_cefr,deskilling_penalty,annual_gross_wage_eur,monthly_remittances_eur,pension_ep_accumulated,deposit_assets_eur,investment_assets_eur,housing_real_estate_eur,total_debt_eur,financial_wealth_eur,net_wealth_eur
ID_000076,General_Migrant,Male,45,16.8,Low,B1,0.04,23628.47,4.36,7.02,13485.76,0.0,0.0,0.0,13485.76,13485.76
ID_000077,General_Migrant,Male,31,13.2,Low,B2,0.04,49321.88,264.29,10.41,11376.29,0.0,0.0,5424.38,11376.29,5951.91
ID_000078,German_Native,Female,36,36.0,High (Tertiary),C1/C2,0.0,115072.03,0.0,36.77,2346.66,0.0,0.0,1797.12,2346.66,549.54
ID_000079,German_Native,Male,34,34.0,High (Tertiary),C1/C2,0.0,47024.63,0.0,11.39,962.9,4625.12,0.0,0.0,5588.02,5588.02
ID_000080,German_Native,Male,47,47.0,Medium (Vocational),C1/C2,0.0,33962.36,0.0,17.22,30955.44,0.0,0.0,2641.1,30955.44,28314.34
ID_000081,General_Refugee,Male,26,10.2,Medium (Vocational),B2,0.08,55466.52,124.15,5.53,2138.33,0.0,0.0,975.01,2138.33,1163.32
ID_000082,German_Native,Female,77,77.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,61.4,10370.62,0.0,278586.31,0.0,10370.62,288956.93
ID_000083,German_Native,Female,43,43.0,Medium (Vocational),C1/C2,0.0,54025.85,0.0,24.81,24179.49,0.0,172731.99,82739.64,24179.49,114171.84
ID_000084,German_Native,Female,44,44.0,Medium (Vocational),C1/C2,0.0,148992.66,0.0,51.68,20289.09,0.0,0.0,6469.66,20289.09,13819.43
ID_000085,German_Native,Female,46,46.0,High (Tertiary),C1/C2,0.0,67253.09,0.0,34.03,12229.36,0.0,0.0,0.0,12229.36,12229.36
ID_000086,German_Native,Female,44,44.0,Medium (Vocational),C1/C2,0.0,56520.18,0.0,25.04,3227.19,0.0,0.0,0.0,3227.19,3227.19
ID_000087,General_Migrant,Female,22,24.4,High (Tertiary),A1/A2,0.12,51294.15,111.56,4.86,1705.49,0.0,0.0,0.0,1705.49,1705.49
ID_000088,German_Native,Female,61,61.0,Medium (Vocational),C1/C2,0.0,48127.33,0.0,42.36,1448.58,96772.2,484574.62,0.0,98220.78,582795.4
ID_000089,Ukrainian_Refugee_2022plus,Female,41,1.1,High (Tertiary),B2,0.1,19313.96,372.56,0.38,555.51,0.0,0.0,0.0,555.51,555.51
ID_000090,German_Native,Female,37,37.0,Medium (Vocational),C1/C2,0.0,60036.52,0.0,18.0,12391.61,0.0,0.0,0.0,12391.61,12391.61
ID_000091,German_Native,Male,75,75.0,High (Tertiary),C1/C2,0.0,0.0,0.0,46.8,7264.06,0.0,0.0,0.0,7264.06,7264.06
ID_000092,General_Migrant,Male,38,32.2,High (Tertiary),B1,0.12,60053.2,50.45,19.68,583.54,151965.62,0.0,1665.39,152549.16,150883.77
ID_000093,General_Migrant,Female,44,27.9,High (Tertiary),B2,0.04,50363.11,98.64,30.72,1016.74,0.0,317511.15,169387.04,1016.74,149140.85
ID_000094,German_Native,Female,18,18.0,High (Tertiary),C1/C2,0.0,58206.6,0.0,0.0,241.78,0.0,0.0,0.0,241.78,241.78
ID_000095,General_Migrant,Male,31,26.5,Low,C1/C2,0.04,95188.47,84.23,17.21,2861.44,0.0,0.0,0.0,2861.44,2861.44
ID_000096,German_Native,Female,61,61.0,High (Tertiary),C1/C2,0.0,108912.09,0.0,92.6,3118.53,0.0,519295.32,0.0,3118.53,522413.85
ID_000097,German_Native,Female,49,49.0,High (Tertiary),C1/C2,0.0,86655.62,0.0,60.92,5162.62,0.0,276712.79,94465.23,5162.62,187410.18
ID_000098,German_Native,Female,40,40.0,Medium (Vocational),C1/C2,0.0,73783.84,0.0,33.59,1665.4,0.0,384672.8,332795.02,1665.4,53543.18
ID_000099,German_Native,Female,37,37.0,Medium (Vocational),C1/C2,0.0,54507.82,0.0,24.05,28490.29,0.0,0.0,174.06,28490.29,28316.23
ID_000100,German_Native,Male,37,37.0,Medium (Vocational),C1/C2,0.0,54888.8,0.0,17.74,597.53,0.0,0.0,0.0,597.53,597.53
ID_000101,German_Native,Male,56,56.0,High (Tertiary),C1/C2,0.0,43764.74,0.0,33.98,8883.06,28370.78,0.0,0.0,37253.84,37253.84
ID_000102,German_Native,Male,32,32.0,High (Tertiary),C1/C2,0.0,51917.36,0.0,12.54,1980.84,17034.17,223678.76,207686.82,19015.01,35006.95
ID_000103,German_Native,Male,37,37.0,Medium (Vocational),C1/C2,0.0,71842.2,0.0,24.92,4678.13,2858.74,0.0,121.2,7536.87,7415.67
ID_000104,German_Native,Male,55,55.0,High (Tertiary),C1/C2,0.0,53592.27,0.0,39.03,1729.47,106921.56,376418.4,76936.83,108651.03,408132.6
ID_000105,Ukrainian_Migrant_Pre2022,Male,39,11.3,Medium (Vocational),B1,0.03,51010.65,3.85,10.27,1195.41,0.0,0.0,0.0,1195.41,1195.41
ID_000106,German_Native,Male,51,51.0,High (Tertiary),C1/C2,0.0,58968.44,0.0,31.65,2863.45,0.0,0.0,0.0,2863.45,2863.45
ID_000107,German_Native,Female,46,46.0,High (Tertiary),C1/C2,0.0,76767.3,0.0,46.36,6028.01,0.0,0.0,0.0,6028.01,6028.01
ID_000108,General_Migrant,Female,45,17.0,Medium (Vocational),C1/C2,0.04,102974.2,38.79,28.49,4228.18,5651.09,0.0,0.0,9879.27,9879.27
ID_000109,German_Native,Male,58,58.0,High (Tertiary),C1/C2,0.0,79605.38,0.0,52.59,9636.99,0.0,0.0,0.0,9636.99,9636.99
ID_000110,German_Native,Male,75,75.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,40.72,6297.28,2406.82,524927.45,0.0,8704.1,533631.55
ID_000111,German_Native,Male,64,64.0,Medium (Vocational),C1/C2,0.0,42413.64,0.0,38.03,12610.67,0.0,0.0,933.28,12610.67,11677.39
ID_000112,German_Native,Male,46,46.0,Medium (Vocational),C1/C2,0.0,42970.46,0.0,23.0,2344.0,6459.25,0.0,13601.61,8803.25,-4798.36
ID_000113,Migrant_2ndGen,Male,29,29.0,High (Tertiary),C1/C2,0.02,30097.53,56.51,5.24,6183.36,23619.21,0.0,0.0,29802.57,29802.57
ID_000114,General_Migrant,Male,59,7.6,High (Tertiary),C1/C2,0.04,64117.36,41.07,9.03,3265.37,0.0,267310.58,11381.2,3265.37,259194.75
ID_000115,German_Native,Male,71,71.0,High (Tertiary),C1/C2,0.0,0.0,0.0,37.71,3222.64,0.0,0.0,0.0,3222.64,3222.64
ID_000116,Ukrainian_Refugee_2022plus,Female,34,1.9,Low,A1/A2,0.1,17712.31,146.35,0.36,1142.2,500.0,0.0,0.0,1642.2,1642.2
ID_000117,General_Migrant,Female,46,26.6,Medium (Vocational),B2,0.04,38243.98,8.71,20.68,8494.83,0.0,593528.77,268796.49,8494.83,333227.11
ID_000118,German_Native,Female,53,53.0,High (Tertiary),C1/C2,0.0,93012.12,0.0,64.34,12837.53,0.0,385034.65,111718.89,12837.53,286153.29
ID_000119,Ukrainian_Refugee_2022plus,Male,32,3.8,High (Tertiary),B1,0.28,23629.85,114.18,1.44,1982.71,0.0,0.0,0.0,1982.71,1982.71
ID_000120,German_Native,Female,58,58.0,High (Tertiary),C1/C2,0.0,50700.31,0.0,44.88,12274.76,40497.16,0.0,0.0,52771.92,52771.92
ID_000121,General_Migrant,Male,40,10.5,Medium (Vocational),B2,0.04,67518.7,82.93,14.55,1436.61,0.0,0.0,0.0,1436.61,1436.61
ID_000122,Ukrainian_Refugee_2022plus,Male,43,3.5,High (Tertiary),B1,0.28,43122.28,93.01,2.53,1640.39,0.0,0.0,0.0,1640.39,1640.39
ID_000123,German_Native,Male,41,41.0,Medium (Vocational),C1/C2,0.0,34886.35,0.0,14.98,5910.42,0.0,0.0,0.0,5910.42,5910.42
ID_000124,German_Native,Female,68,68.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,42.75,26109.84,0.0,539980.72,0.0,26109.84,566090.56
ID_000125,German_Native,Female,73,73.0,Low,C1/C2,0.0,0.0,0.0,44.74,1208.82,0.0,428201.68,0.0,1208.82,429410.5
ID_000126,German_Native,Female,59,59.0,Medium (Vocational),C1/C2,0.0,52968.51,0.0,49.41,3617.04,0.0,567664.76,17280.51,3617.04,554001.29
ID_000127,General_Refugee,Male,34,10.5,Low,B1,0.08,71649.85,56.0,14.75,2430.76,0.0,442666.96,469123.88,2430.76,-24026.16
ID_000128,General_Refugee,Female,36,11.4,Medium (Vocational),B2,0.08,41135.52,1.73,8.43,3824.24,6037.8,0.0,0.0,9862.04,9862.04
ID_000129,German_Native,Male,43,43.0,Medium (Vocational),C1/C2,0.0,37406.19,0.0,18.38,6513.1,0.0,0.0,1527.15,6513.1,4985.95
ID_000130,German_Native,Female,53,53.0,Medium (Vocational),C1/C2,0.0,65545.58,0.0,50.3,8973.58,0.0,316054.01,72461.69,8973.58,252565.9
ID_000131,German_Native,Male,52,52.0,Medium (Vocational),C1/C2,0.0,75841.28,0.0,50.99,20475.23,10952.27,0.0,101.7,31427.5,31325.8
ID_000132,German_Native,Male,65,65.0,Medium (Vocational),C1/C2,0.0,58785.11,0.0,46.02,3365.84,0.0,0.0,0.0,3365.84,3365.84
ID_000133,German_Native,Male,47,47.0,Medium (Vocational),C1/C2,0.0,38518.15,0.0,22.72,6901.4,0.0,399369.13,171722.0,6901.4,234548.53
ID_000134,German_Native,Male,36,36.0,Medium (Vocational),C1/C2,0.0,53319.52,0.0,15.78,3623.33,8056.39,0.0,0.0,11679.72,11679.72
ID_000135,Migrant_2ndGen,Female,25,25.0,High (Tertiary),C1/C2,0.02,37200.8,33.33,3.22,1077.26,0.0,0.0,0.0,1077.26,1077.26
ID_000136,German_Native,Female,44,44.0,Medium (Vocational),C1/C2,0.0,30441.67,0.0,16.11,1317.8,0.0,523574.08,256039.25,1317.8,268852.63
ID_000137,German_Native,Male,43,43.0,Medium (Vocational),C1/C2,0.0,53963.39,0.0,24.98,7573.89,0.0,354032.02,255008.33,7573.89,106597.58
ID_000138,General_Migrant,Female,53,14.8,Medium (Vocational),B2,0.04,50383.97,125.48,14.23,6826.5,8203.79,0.0,0.0,15030.29,15030.29
ID_000139,German_Native,Male,36,36.0,Medium (Vocational),C1/C2,0.0,40884.96,0.0,14.01,36991.36,0.0,0.0,0.0,36991.36,36991.36
ID_000140,Migrant_2ndGen,Male,34,34.0,Medium (Vocational),C1/C2,0.02,60984.34,43.9,15.09,4026.11,0.0,0.0,1711.32,4026.11,2314.79
ID_000141,Migrant_2ndGen,Male,38,38.0,Low,C1/C2,0.02,53289.75,23.35,18.66,12704.69,0.0,0.0,284.57,12704.69,12420.12
ID_000142,German_Native,Female,43,43.0,Medium (Vocational),C1/C2,0.0,69132.85,0.0,37.01,6322.23,0.0,0.0,0.0,6322.23,6322.23
ID_000143,German_Native,Female,53,53.0,High (Tertiary),C1/C2,0.0,32177.92,0.0,22.23,22764.96,862.85,616329.09,165048.16,23627.81,474908.74
ID_000144,German_Native,Male,55,55.0,High (Tertiary),C1/C2,0.0,91577.78,0.0,52.51,4205.22,10643.21,268062.39,41342.42,14848.43,241568.4
ID_000145,German_Native,Male,34,34.0,High (Tertiary),C1/C2,0.0,86539.06,0.0,24.48,4084.01,0.0,0.0,0.0,4084.01,4084.01
ID_000146,German_Native,Male,18,18.0,Medium (Vocational),C1/C2,0.0,47000.26,0.0,0.0,1940.49,0.0,0.0,0.0,1940.49,1940.49
ID_000147,German_Native,Female,67,67.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,47.48,5918.99,0.0,0.0,1659.54,5918.99,4259.45
ID_000148,German_Native,Male,73,73.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,38.31,6541.84,0.0,454283.22,0.0,6541.84,460825.06
ID_000149,German_Native,Male,56,56.0,High (Tertiary),C1/C2,0.0,112806.05,0.0,69.18,14207.14,0.0,355896.42,44821.56,14207.14,325282.0
ID_000150,German_Native,Female,53,53.0,High (Tertiary),C1/C2,0.0,73019.11,0.0,41.49,58271.59,7828.83,0.0,342.67,66100.42,65757.75
ID_000151,Ukrainian_Migrant_Pre2022,Female,32,14.4,Medium (Vocational),C1/C2,0.03,41189.09,50.46,11.91,1436.5,0.0,0.0,0.0,1436.5,1436.5
ID_000152,German_Native,Female,40,40.0,High (Tertiary),C1/C2,0.0,78159.01,0.0,29.52,13291.78,6455.83,0.0,0.0,19747.61,19747.61
ID_000153,German_Native,Male,59,59.0,Medium (Vocational),C1/C2,0.0,41093.88,0.0,35.11,10846.52,0.0,416224.57,17043.51,10846.52,410027.58
ID_000154,German_Native,Female,20,20.0,Medium (Vocational),C1/C2,0.0,23708.47,0.0,0.0,1751.53,0.0,0.0,0.0,1751.53,1751.53
ID_000155,Migrant_2ndGen,Male,37,37.0,High (Tertiary),C1/C2,0.02,80004.05,9.17,25.52,1566.55,0.0,0.0,353.88,1566.55,1212.67
ID_000156,German_Native,Male,41,41.0,Medium (Vocational),C1/C2,0.0,52244.7,0.0,19.58,2699.54,0.0,363169.46,231700.09,2699.54,134168.91
ID_000157,General_Migrant,Male,39,14.0,Medium (Vocational),B2,0.04,84676.26,6.92,21.54,2746.46,0.0,0.0,0.0,2746.46,2746.46
ID_000158,General_Migrant,Male,45,4.6,High (Tertiary),B2,0.04,46311.36,339.01,3.25,355.71,0.0,0.0,0.0,355.71,355.71
ID_000159,German_Native,Male,26,26.0,Medium (Vocational),C1/C2,0.0,106785.23,0.0,11.84,5783.25,0.0,0.0,297.31,5783.25,5485.94
ID_000160,General_Migrant,Male,35,7.2,High (Tertiary),B1,0.12,45352.81,172.26,6.64,26068.12,2190.73,0.0,0.0,28258.85,28258.85
ID_000161,German_Native,Male,64,64.0,Medium (Vocational),C1/C2,0.0,56058.79,0.0,51.04,23894.99,9414.26,490355.99,0.0,33309.25,523665.24
ID_000162,German_Native,Female,43,43.0,High (Tertiary),C1/C2,0.0,76989.31,0.0,41.29,6742.36,0.0,0.0,0.0,6742.36,6742.36
ID_000163,German_Native,Male,54,54.0,Low,C1/C2,0.0,103766.1,0.0,70.68,9132.79,0.0,0.0,0.0,9132.79,9132.79
ID_000164,German_Native,Female,70,70.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,47.61,1875.07,19774.4,359186.22,0.0,21649.47,380835.69
ID_000165,German_Native,Female,26,26.0,Medium (Vocational),C1/C2,0.0,32304.36,0.0,9.18,8001.1,0.0,0.0,0.0,8001.1,8001.1
ID_000166,General_Refugee,Male,21,10.2,High (Tertiary),B2,0.08,76132.12,178.15,0.0,482.84,0.0,485145.97,759147.02,482.84,-273518.21
ID_000167,German_Native,Female,18,18.0,Medium (Vocational),C1/C2,0.0,16894.39,0.0,0.0,445.77,0.0,0.0,0.0,445.77,445.77
ID_000168,German_Native,Female,36,36.0,Low,C1/C2,0.0,42474.11,0.0,18.28,2318.75,35595.31,0.0,0.0,37914.06,37914.06
ID_000169,German_Native,Male,81,81.0,High (Tertiary),C1/C2,0.0,0.0,0.0,45.53,21710.84,17345.45,352208.68,0.0,39056.29,391264.97
ID_000170,German_Native,Female,71,71.0,High (Tertiary),C1/C2,0.0,0.0,0.0,51.48,1167.65,0.0,0.0,0.0,1167.65,1167.65
ID_000171,General_Migrant,Male,41,23.9,High (Tertiary),B1,0.12,79120.18,7.03,31.24,27961.46,0.0,393635.42,285214.33,27961.46,136382.55
ID_000172,German_Native,Female,33,33.0,Medium (Vocational),C1/C2,0.0,31392.52,0.0,8.1,1187.45,0.0,0.0,0.0,1187.45,1187.45
ID_000173,German_Native,Female,66,66.0,High (Tertiary),C1/C2,0.0,83820.3,0.0,86.3,40595.38,3240.99,474062.12,0.0,43836.37,517898.49
