variant,year,fertility_tfr,annual_net_migration,total_population_millions,pop_age_0_19_millions,pop_age_20_66_working_age_millions,pop_age_67plus_retirement_age_millions,pop_age_80plus_oldest_old_millions,old_age_dependency_ratio_oadr_pct,system_dependency_ratio_sdr
V2_AgingShock_G1_L3_W1,2030,1.29,150000,83.797,15.14,49.897,18.76,6.95,37.6,0.443
V2_AgingShock_G1_L3_W1,2031,1.29,150000,83.651,15.055,49.627,18.97,7.075,38.23,0.451
V2_AgingShock_G1_L3_W1,2032,1.29,150000,83.506,14.97,49.356,19.18,7.2,38.86,0.458
V2_AgingShock_G1_L3_W1,2033,1.29,150000,83.361,14.885,49.086,19.39,7.325,39.5,0.466
V2_AgingShock_G1_L3_W1,2034,1.29,150000,83.215,14.8,48.815,19.6,7.45,40.15,0.474
V2_AgingShock_G1_L3_W1,2035,1.29,150000,83.07,14.715,48.545,19.81,7.575,40.81,0.481
V2_AgingShock_G1_L3_W1,2036,1.29,150000,82.924,14.63,48.274,20.02,7.7,41.47,0.489
V2_AgingShock_G1_L3_W1,2037,1.29,150000,82.779,14.545,48.004,20.23,7.825,42.14,0.497
V2_AgingShock_G1_L3_W1,2038,1.29,150000,82.633,14.46,47.733,20.44,7.95,42.82,0.505
V2_AgingShock_G1_L3_W1,2039,1.29,150000,82.487,14.375,47.462,20.65,8.075,43.51,0.513
V2_AgingShock_G1_L3_W1,2040,1.29,150000,82.342,14.29,47.192,20.86,8.2,44.2,0.521
V2_AgingShock_G1_L3_W1,2041,1.29,150000,82.197,14.205,46.922,21.07,8.325,44.9,0.53
V2_AgingShock_G1_L3_W1,2042,1.29,150000,82.051,14.12,46.651,21.28,8.45,45.62,0.538
V2_AgingShock_G1_L3_W1,2043,1.29,150000,81.906,14.035,46.381,21.49,8.575,46.33,0.547
V2_AgingShock_G1_L3_W1,2044,1.29,150000,81.76,13.95,46.11,21.7,8.7,47.06,0.555
V2_AgingShock_G1_L3_W1,2045,1.29,150000,81.615,13.865,45.84,21.91,8.825,47.8,0.564
V2_AgingShock_G1_L3_W1,2046,1.29,150000,81.469,13.78,45.569,22.12,8.95,48.54,0.573
V2_AgingShock_G1_L3_W1,2047,1.29,150000,81.323,13.695,45.299,22.33,9.075,49.3,0.581
V2_AgingShock_G1_L3_W1,2048,1.29,150000,81.178,13.61,45.028,22.54,9.2,50.06,0.59
V2_AgingShock_G1_L3_W1,2049,1.29,150000,81.032,13.525,44.758,22.75,9.325,50.83,0.6
V2_AgingShock_G1_L3_W1,2050,1.29,150000,80.887,13.44,44.487,22.96,9.45,51.61,0.609
V2_AgingShock_G1_L3_W1,2051,1.29,150000,80.742,13.355,44.217,23.17,9.575,52.4,0.618
V2_AgingShock_G1_L3_W1,2052,1.29,150000,80.596,13.27,43.946,23.38,9.7,53.2,0.628
V2_AgingShock_G1_L3_W1,2053,1.29,150000,80.451,13.185,43.675,23.59,9.825,54.01,0.637
V2_AgingShock_G1_L3_W1,2054,1.29,150000,80.305,13.1,43.405,23.8,9.95,54.83,0.647
V2_AgingShock_G1_L3_W1,2055,1.29,150000,80.16,13.015,43.135,24.01,10.075,55.66,0.657
V2_AgingShock_G1_L3_W1,2056,1.29,150000,80.014,12.93,42.864,24.22,10.2,56.5,0.666
V2_AgingShock_G1_L3_W1,2057,1.29,150000,79.869,12.845,42.594,24.43,10.325,57.36,0.677
V2_AgingShock_G1_L3_W1,2058,1.29,150000,79.723,12.76,42.323,24.64,10.45,58.22,0.687
V2_AgingShock_G1_L3_W1,2059,1.29,150000,79.578,12.675,42.053,24.85,10.575,59.09,0.697
V2_AgingShock_G1_L3_W1,2060,1.29,150000,79.432,12.59,41.782,25.06,10.7,59.98,0.707
V2_AgingShock_G1_L3_W1,2061,1.29,150000,79.287,12.505,41.512,25.27,10.825,60.87,0.718
V2_AgingShock_G1_L3_W1,2062,1.29,150000,79.141,12.42,41.241,25.48,10.95,61.78,0.729
V2_AgingShock_G1_L3_W1,2063,1.29,150000,78.996,12.335,40.971,25.69,11.075,62.7,0.74
V2_AgingShock_G1_L3_W1,2064,1.29,150000,78.85,12.25,40.7,25.9,11.2,63.64,0.751
V2_AgingShock_G1_L3_W1,2065,1.29,150000,78.704,12.165,40.43,26.11,11.325,64.58,0.762
V2_AgingShock_G1_L3_W1,2066,1.29,150000,78.559,12.08,40.159,26.32,11.45,65.54,0.773
V2_AgingShock_G1_L3_W1,2067,1.29,150000,78.414,11.995,39.889,26.53,11.575,66.51,0.784
V2_AgingShock_G1_L3_W1,2068,1.29,150000,78.268,11.91,39.618,26.74,11.7,67.49,0.796
V2_AgingShock_G1_L3_W1,2069,1.29,150000,78.123,11.825,39.348,26.95,11.825,68.49,0.808
V2_AgingShock_G1_L3_W1,2070,1.29,150000,77.977,11.74,39.077,27.16,11.95,69.5,0.82
V3_HighMigration_G3_L2_W3,2024,1.65,400000,84.67,15.65,51.52,17.5,6.2,33.97,0.401
V3_HighMigration_G3_L2_W3,2025,1.65,400000,84.846,15.681,51.495,17.67,6.29,34.31,0.405
V3_HighMigration_G3_L2_W3,2026,1.65,400000,85.022,15.712,51.47,17.84,6.38,34.66,0.409
V3_HighMigration_G3_L2_W3,2027,1.65,400000,85.198,15.743,51.445,18.01,6.47,35.01,0.413
V3_HighMigration_G3_L2_W3,2028,1.65,400000,85.374,15.774,51.42,18.18,6.56,35.36,0.417
V3_HighMigration_G3_L2_W3,2029,1.65,400000,85.55,15.805,51.395,18.35,6.65,35.7,0.421
V3_HighMigration_G3_L2_W3,2030,1.65,400000,85.726,15.836,51.37,18.52,6.74,36.05,0.425
V3_HighMigration_G3_L2_W3,2031,1.65,400000,85.902,15.867,51.345,18.69,6.83,36.4,0.429
V3_HighMigration_G3_L2_W3,2032,1.65,400000,86.078,15.898,51.32,18.86,6.92,36.75,0.433
V3_HighMigration_G3_L2_W3,2033,1.65,400000,86.254,15.929,51.295,19.03,7.01,37.1,0.438
V3_HighMigration_G3_L2_W3,2034,1.65,400000,86.43,15.96,51.27,19.2,7.1,37.45,0.442
V3_HighMigration_G3_L2_W3,2035,1.65,400000,86.606,15.991,51.245,19.37,7.19,37.8,0.446
V3_HighMigration_G3_L2_W3,2036,1.65,400000,86.782,16.022,51.22,19.54,7.28,38.15,0.45
V3_HighMigration_G3_L2_W3,2037,1.65,400000,86.958,16.053,51.195,19.71,7.37,38.5,0.454
V3_HighMigration_G3_L2_W3,2038,1.65,400000,87.134,16.084,51.17,19.88,7.46,38.85,0.458
V3_HighMigration_G3_L2_W3,2039,1.65,400000,87.31,16.115,51.145,20.05,7.55,39.2,0.462
V3_HighMigration_G3_L2_W3,2040,1.65,400000,87.486,16.146,51.12,20.22,7.64,39.55,0.467
V3_HighMigration_G3_L2_W3,2041,1.65,400000,87.662,16.177,51.095,20.39,7.73,39.91,0.471
V3_HighMigration_G3_L2_W3,2042,1.65,400000,87.838,16.208,51.07,20.56,7.82,40.26,0.475
V3_HighMigration_G3_L2_W3,2043,1.65,400000,88.014,16.239,51.045,20.73,7.91,40.61,0.479
V3_HighMigration_G3_L2_W3,2044,1.65,400000,88.19,16.27,51.02,20.9,8.0,40.96,0.483
V3_HighMigration_G3_L2_W3,2045,1.65,400000,88.366,16.301,50.995,21.07,8.09,41.32,0.487
V3_HighMigration_G3_L2_W3,2046,1.65,400000,88.542,16.332,50.97,21.24,8.18,41.67,0.492
V3_HighMigration_G3_L2_W3,2047,1.65,400000,88.718,16.363,50.945,21.41,8.27,42.03,0.496
V3_HighMigration_G3_L2_W3,2048,1.65,400000,88.894,16.394,50.92,21.58,8.36,42.38,0.5
V3_HighMigration_G3_L2_W3,2049,1.65,400000,89.07,16.425,50.895,21.75,8.45,42.74,0.504
V3_HighMigration_G3_L2_W3,2050,1.65,400000,89.246,16.456,50.87,21.92,8.54,43.09,0.508
V3_HighMigration_G3_L2_W3,2051,1.65,400000,89.422,16.487,50.845,22.09,8.63,43.45,0.512
V3_HighMigration_G3_L2_W3,2052,1.65,400000,89.598,16.518,50.82,22.26,8.72,43.8,0.517
V3_HighMigration_G3_L2_W3,2053,1.65,400000,89.774,16.549,50.795,22.43,8.81,44.16,0.521
V3_HighMigration_G3_L2_W3,2054,1.65,400000,89.95,16.58,50.77,22.6,8.9,44.51,0.525
V3_HighMigration_G3_L2_W3,2055,1.65,400000,90.126,16.611,50.745,22.77,8.99,44.87,0.529
V3_HighMigration_G3_L2_W3,2056,1.65,400000,90.302,16.642,50.72,22.94,9.08,45.23,0.533
V3_HighMigration_G3_L2_W3,2057,1.65,400000,90.478,16.673,50.695,23.11,9.17,45.59,0.538
V3_HighMigration_G3_L2_W3,2058,1.65,400000,90.654,16.704,50.67,23.28,9.26,45.94,0.542
V3_HighMigration_G3_L2_W3,2059,1.65,400000,90.83,16.735,50.645,23.45,9.35,46.3,0.546
V3_HighMigration_G3_L2_W3,2060,1.65,400000,91.006,16.766,50.62,23.62,9.44,46.66,0.55
V3_HighMigration_G3_L2_W3,2061,1.65,400000,91.182,16.797,50.595,23.79,9.53,47.02,0.555
V3_HighMigration_G3_L2_W3,2062,1.65,400000,91.358,16.828,50.57,23.96,9.62,47.38,0.559
V3_HighMigration_G3_L2_W3,2063,1.65,400000,91.534,16.859,50.545,24.13,9.71,47.74,0.563
V3_HighMigration_G3_L2_W3,2064,1.65,400000,91.71,16.89,50.52,24.3,9.8,48.1,0.567
V3_HighMigration_G3_L2_W3,2065,1.65,400000,91.886,16.921,50.495,24.47,9.89,48.46,0.572
V3_HighMigration_G3_L2_W3,2066,1.65,400000,92.062,16.952,50.47,24.64,9.98,48.82,0.576
V3_HighMigration_G3_L2_W3,2067,1.65,400000,92.238,16.983,50.445,24.81,10.07,49.18,0.58
V3_HighMigration_G3_L2_W3,2068,1.65,400000,92.414,17.014,50.42,24.98,10.16,49.54,0.584
V3_HighMigration_G3_L2_W3,2069,1.65,400000,92.59,17.045,50.395,25.15,10.25,49.91,0.589
V3_HighMigration_G3_L2_W3,2070,1.65,400000,92.766,17.076,50.37,25.32,10.34,50.27,0.593
V4_Contraction_G1_L1_W1,2024,1.29,150000,84.67,15.65,51.52,17.5,6.2,33.97,0.401
V4_Contraction_G1_L1_W1,2025,1.29,150000,84.42,15.56,51.21,17.65,6.28,34.47,0.407
V4_Contraction_G1_L1_W1,2026,1.29,150000,84.17,15.47,50.9,17.8,6.36,34.97,0.412
V4_Contraction_G1_L1_W1,2027,1.29,150000,83.92,15.38,50.59,17.95,6.44,35.48,0.418
V4_Contraction_G1_L1_W1,2028,1.29,150000,83.67,15.29,50.28,18.1,6.52,36.0,0.425
V4_Contraction_G1_L1_W1,2029,1.29,150000,83.42,15.2,49.97,18.25,6.6,36.52,0.431
V4_Contraction_G1_L1_W1,2030,1.29,150000,83.17,15.11,49.66,18.4,6.68,37.05,0.437
V4_Contraction_G1_L1_W1,2031,1.29,150000,82.92,15.02,49.35,18.55,6.76,37.59,0.443
V4_Contraction_G1_L1_W1,2032,1.29,150000,82.67,14.93,49.04,18.7,6.84,38.13,0.45
V4_Contraction_G1_L1_W1,2033,1.29,150000,82.42,14.84,48.73,18.85,6.92,38.68,0.456
V4_Contraction_G1_L1_W1,2034,1.29,150000,82.17,14.75,48.42,19.0,7.0,39.24,0.463
V4_Contraction_G1_L1_W1,2035,1.29,150000,81.92,14.66,48.11,19.15,7.08,39.8,0.469
V4_Contraction_G1_L1_W1,2036,1.29,150000,81.67,14.57,47.8,19.3,7.16,40.38,0.476
V4_Contraction_G1_L1_W1,2037,1.29,150000,81.42,14.48,47.49,19.45,7.24,40.96,0.483
V4_Contraction_G1_L1_W1,2038,1.29,150000,81.17,14.39,47.18,19.6,7.32,41.54,0.49
V4_Contraction_G1_L1_W1,2039,1.29,150000,80.92,14.3,46.87,19.75,7.4,42.14,0.497
V4_Contraction_G1_L1_W1,2040,1.29,150000,80.67,14.21,46.56,19.9,7.48,42.74,0.504
V4_Contraction_G1_L1_W1,2041,1.29,150000,80.42,14.12,46.25,20.05,7.56,43.35,0.511
V4_Contraction_G1_L1_W1,2042,1.29,150000,80.17,14.03,45.94,20.2,7.64,43.97,0.519
V4_Contraction_G1_L1_W1,2043,1.29,150000,79.92,13.94,45.63,20.35,7.72,44.6,0.526
V4_Contraction_G1_L1_W1,2044,1.29,150000,79.67,13.85,45.32,20.5,7.8,45.23,0.534
V4_Contraction_G1_L1_W1,2045,1.29,150000,79.42,13.76,45.01,20.65,7.88,45.88,0.541
V4_Contraction_G1_L1_W1,2046,1.29,150000,79.17,13.67,44.7,20.8,7.96,46.53,0.549
V4_Contraction_G1_L1_W1,2047,1.29,150000,78.92,13.58,44.39,20.95,8.04,47.2,0.557
V4_Contraction_G1_L1_W1,2048,1.29,150000,78.67,13.49,44.08,21.1,8.12,47.87,0.565
V4_Contraction_G1_L1_W1,2049,1.29,150000,78.42,13.4,43.77,21.25,8.2,48.55,0.573
V4_Contraction_G1_L1_W1,2050,1.29,150000,78.17,13.31,43.46,21.4,8.28,49.24,0.581
V4_Contraction_G1_L1_W1,2051,1.29,150000,77.92,13.22,43.15,21.55,8.36,49.94,0.589
V4_Contraction_G1_L1_W1,2052,1.29,150000,77.67,13.13,42.84,21.7,8.44,50.65,0.597
V4_Contraction_G1_L1_W1,2053,1.29,150000,77.42,13.04,42.53,21.85,8.52,51.38,0.606
V4_Contraction_G1_L1_W1,2054,1.29,150000,77.17,12.95,42.22,22.0,8.6,52.11,0.615
V4_Contraction_G1_L1_W1,2055,1.29,150000,76.92,12.86,41.91,22.15,8.68,52.85,0.623
V4_Contraction_G1_L1_W1,2056,1.29,150000,76.67,12.77,41.6,22.3,8.76,53.61,0.632
V4_Contraction_G1_L1_W1,2057,1.29,150000,76.42,12.68,41.29,22.45,8.84,54.37,0.641
V4_Contraction_G1_L1_W1,2058,1.29,150000,76.17,12.59,40.98,22.6,8.92,55.15,0.65
V4_Contraction_G1_L1_W1,2059,1.29,150000,75.92,12.5,40.67,22.75,9.0,55.94,0.66
V4_Contraction_G1_L1_W1,2060,1.29,150000,75.67,12.41,40.36,22.9,9.08,56.74,0.669
V4_Contraction_G1_L1_W1,2061,1.29,150000,75.42,12.32,40.05,23.05,9.16,57.55,0.679
V4_Contraction_G1_L1_W1,2062,1.29,150000,75.17,12.23,39.74,23.2,9.24,58.38,0.689
V4_Contraction_G1_L1_W1,2063,1.29,150000,74.92,12.14,39.43,23.35,9.32,59.22,0.698
V4_Contraction_G1_L1_W1,2064,1.29,150000,74.67,12.05,39.12,23.5,9.4,60.07,0.709
V4_Contraction_G1_L1_W1,2065,1.29,150000,74.42,11.96,38.81,23.65,9.48,60.94,0.719
V4_Contraction_G1_L1_W1,2066,1.29,150000,74.17,11.87,38.5,23.8,9.56,61.82,0.729
V4_Contraction_G1_L1_W1,2067,1.29,150000,73.92,11.78,38.19,23.95,9.64,62.71,0.74
V4_Contraction_G1_L1_W1,2068,1.29,150000,73.67,11.69,37.88,24.1,9.72,63.62,0.75
V4_Contraction_G1_L1_W1,2069,1.29,150000,73.42,11.6,37.57,24.25,9.8,64.55,0.761
V4_Contraction_G1_L1_W1,2070,1.29,150000,73.17,11.51,37.26,24.4,9.88,65.49,0.772
